it	epsiln energy reg_e  im_e   gV_inf relEn0 relIm0 relGV0 relErr v_CFL  soft_v h_tmax 1/Max  CFL_n  time_iter 
39.0000 0.0010 0.0011 0.0000 0.0011 0.0421 0.0745 0.9930 0.0098 0.0745 0.0000 0.0000 0.0524 0.2618 0.1999 5.3183 
40.0000 0.0010 0.0011 0.0000 0.0011 0.0411 0.0740 0.9931 0.0096 0.0740 1.0000 0.0000 0.0523 0.2616 0.2001 5.3251 
41.0000 0.0010 0.0011 0.0000 0.0011 0.0403 0.0735 0.9932 0.0094 0.0735 1.0000 0.0000 0.0523 0.2614 0.2002 5.3238 
42.0000 0.0010 0.0011 0.0000 0.0011 0.0394 0.0730 0.9933 0.0092 0.0730 1.0000 0.0000 0.0522 0.2612 0.2004 5.3214 
43.0000 0.0010 0.0011 0.0000 0.0011 0.0385 0.0725 0.9934 0.0090 0.0725 1.0000 0.0000 0.0522 0.2610 0.2005 5.3198 
44.0000 0.0010 0.0011 0.0000 0.0011 0.0377 0.0720 0.9935 0.0088 0.0720 1.0000 0.0000 0.0522 0.2608 0.2007 5.3279 
45.0000 0.0010 0.0010 0.0000 0.0010 0.0368 0.0716 0.9936 0.0086 0.0716 1.0000 0.0000 0.0521 0.2606 0.2008 5.3277 
46.0000 0.0010 0.0010 0.0000 0.0010 0.0364 0.0711 0.9936 0.0085 0.0711 1.0000 0.0000 0.0521 0.2604 0.2010 5.3288 
47.0000 0.0010 0.0010 0.0000 0.0010 0.0357 0.0707 0.9937 0.0083 0.0707 1.0000 0.0000 0.0520 0.2602 0.2011 5.3238 
48.0000 0.0010 0.0010 0.0000 0.0010 0.0351 0.0702 0.9938 0.0082 0.0702 1.0000 0.0000 0.0520 0.2600 0.2013 5.3315 
49.0000 0.0010 0.0010 0.0000 0.0010 0.0345 0.0698 0.9939 0.0081 0.0698 1.0000 0.0000 0.0519 0.2597 0.2015 5.3297 
50.0000 0.0010 0.0010 0.0000 0.0010 0.0339 0.0694 0.9939 0.0079 0.0694 1.0000 0.0000 0.0519 0.2595 0.2017 5.3330 
